index,brand,model,Specification,Device,price,Rating,processor_brand,processor_tier,num_cores,num_threads,ram_memory,primary_storage_type,primary_storage_capacity,secondary_storage_type,secondary_storage_capacity,gpu_brand,gpu_type,is_touch_screen,display_size,resolution_width,resolution_height,os,year_of_warranty
1,tecno,Tecno Megabook T1,11th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home,Laptop,23990,63,intel,core i3,2,4,8,SSD,512,No secondary storage,0,intel,integrated,FALSE,15.6,1920,1080,windows,1
2,tecno,Tecno Megabook T1,11th Gen Core i7/ 16GB/ 1TB SSD/ Win11 Home,Laptop,35990,67,intel,core i7,4,8,16,SSD,1024,No secondary storage,0,intel,integrated,FALSE,15.6,1920,1080,windows,1
3,hp,HP Victus 15-fb0157AX,AMD Ryzen 5 5600H/ 8GB/ 512GB SSD/ Win11/ 4GB Graph,Gaming Laptop,51100,73,amd,ryzen 5,6,12,8,SSD,512,No secondary storage,0,amd,dedicated,FALSE,15.6,1920,1080,windows,1
4,acer,Acer Extensa EX214-53,12th Gen Core i5/ 8GB/ 512GB SSD/ Win11 Home,Laptop,39990,62,intel,core i5,12,16,8,SSD,512,No secondary storage,0,intel,integrated,FALSE,14,1920,1080,windows,1
5,lenovo,Lenovo V15 82KDA01BIH,AMD Ryzen 3 5300U/ 8GB/ 512GB SSD/ Win11 Home,Laptop,28580,62,amd,ryzen 3,4,8,8,SSD,512,No secondary storage,0,amd,integrated,FALSE,15.6,1920,1080,windows,1
6,apple,Apple MacBook Air 2020 MGND3HN,Apple M1/ 8GB/ 256GB SSD/ MacOS,Laptop,70990,45,apple,m1,8,8,8,SSD,256,No secondary storage,0,apple,apple,FALSE,13.3,2560,1600,mac,1
7,infinix,Infinix INBook Y2 Plus,11th Gen Core i5/ 16GB/ 512GB SSD/ Win 11 Home,Laptop,34990,56,intel,core i5,4,8,16,SSD,512,No secondary storage,0,intel,integrated,FALSE,15.6,1920,1080,windows,1
8,asus,Asus TUF Gaming F15 FX506HF-HN024W,11th Gen Core i5/ 8GB/ 512GB SSD/ Win11/ 4GB Graph,Gaming Laptop,49990,70,intel,core i5,6,12,8,SSD,512,No secondary storage,0,nvidia,dedicated,FALSE,15.6,1920,1080,windows,1
9,hp,HP 15s-fq5007TU,12th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home,Laptop,36990,60,intel,core i3,6,8,8,SSD,512,No secondary storage,0,intel,integrated,FALSE,15.6,1920,1080,windows,1
10,infinix,Infinix Zerobook 2023,13th Gen Core i9/ 32GB/ 1TB SSD/ Win 11 Home,Laptop,59990,71,intel,core i9,14,20,32,SSD,1024,No secondary storage,0,intel,integrated,FALSE,15.6,1920,1080,windows,1
11,dell,Dell Inspiron 3520 D560896WIN9B,12th Gen Core i3/ 8GB/ 512GB SSD/ Win11,Laptop,34990,60,intel,core i3,6,8,8,SSD,512,No secondary storage,0,intel,integrated,FALSE,15.6,1920,1080,windows,1
12,samsung,Samsung Galaxy Book2 Pro 13,12th Gen Core i5/ 16GB/ 512GB SSD/ Win11,Laptop,64990,68,intel,core i5,12,16,16,SSD,512,No secondary storage,0,intel,integrated,FALSE,13.3,1080,1920,windows,1
13,msi,MSI Thin GF63 12UC-846IN,12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graphics,Gaming Laptop,52990,71,intel,core i5,8,12,16,SSD,512,No secondary storage,0,nvidia,dedicated,FALSE,15.6,1920,1080,windows,2
14,asus,Asus Vivobook 16X 2022 M1603QA-MB711WS,Ryzen 7-5800H/ 16GB/ 512GB SSD/ Win11 Home,Laptop,57390,71,amd,ryzen 7,8,16,16,SSD,512,No secondary storage,0,amd,integrated,FALSE,16,1920,1200,windows,1
15,lenovo,Lenovo IdeaPad Slim 3 82H803LKIN,11th Gen Core i5/ 16GB/ 512GB SSD/ Win11,Laptop,47490,66,intel,core i5,4,8,16,SSD,512,No secondary storage,0,intel,integrated,FALSE,15.6,1920,1080,windows,1
16,hp,HP Omen 16-wf1025TX,14th Gen Core i7/ 16GB/ 1TB SSD/ Win11 Home/ 8GB Graph,Gaming Laptop,153990,85,intel,core i7,20,28,16,SSD,1024,No secondary storage,0,nvidia,dedicated,FALSE,16.1,2560,1440,windows,1
17,lenovo,Lenovo V15 G3 IAP 82TTA08AIN,12th Gen Core i7/ 16GB/ 512GB SSD/Win11,Laptop,49990,59,intel,core i7,10,12,16,SSD,512,No secondary storage,0,intel,integrated,FALSE,15.6,1920,1080,windows,1
18,asus,Asus TUF Gaming F15 FX506HE-HN385WS,11th Gen Core i7/ 16GB/ 1TB SSD/ Win11/ 4GB Graph,Gaming Laptop,75990,76,intel,core i7,8,16,16,SSD,1024,No secondary storage,0,nvidia,dedicated,FALSE,15.6,1920,1080,windows,1
19,hp,HP Victus 15-fb1017AX,AMD Ryzen 5 7535HS/ 16GB/ 512GB SSD/ Win11/ 4GB Graph,Gaming Laptop,55490,71,amd,ryzen 5,6,12,16,SSD,512,No secondary storage,0,nvidia,dedicated,FALSE,15.6,1920,1080,windows,1
20,wings,Wings Nuvobook V1,11th Gen Core i5/ 8GB/ 512GB SSD/ Win11,Laptop,27990,56,intel,core i5,4,8,8,SSD,512,No secondary storage,0,intel,integrated,FALSE,15.6,1080,1920,windows,1
21,hp,HP 255 G9 840T7PA,AMD Athlon Silver-3050U/ 4GB/ 256GB SSD/ DOS,Laptop,19299,49,amd,other,2,2,4,SSD,256,No secondary storage,0,amd,integrated,FALSE,15.6,1366,768,dos,1
22,lenovo,Lenovo V15 G4 82YU00W7IN,AMD Ryzen 3 7320U/ 8GB/ 512GB SSD/ Win11 Home,Laptop,27990,59,amd,ryzen 3,4,8,8,SSD,512,No secondary storage,0,amd,integrated,FALSE,15.6,1920,1080,windows,1
23,apple,Apple MacBook Pro 16 2023,Apple M3 Max/ 48GB/ 1TB SSD/ macOS,Laptop,399900,65,apple,m3,16,16,8,SSD,1024,No secondary storage,0,apple,apple,FALSE,16.2,3456,2234,mac,1
24,asus,Asus Vivobook 15 X1502ZA-EJ385WS,12th Gen Core i3/ 8GB/ 512GB SSD/ Win11,Laptop,39990,57,intel,core i3,10,12,8,SSD,512,No secondary storage,0,intel,integrated,FALSE,15.6,1920,1080,windows,1
25,asus,Asus VivoBook 15 X1500EA-EJ311W,11th Gen Core i3/ 8GB/ 256GB SSD/ Win11,Laptop,27990,57,intel,core i3,2,4,8,SSD,256,No secondary storage,0,intel,integrated,FALSE,15.6,1920,1080,windows,1
26,acer,Acer Nitro V ANV15-51 2023,13th Gen Core i5/ 16GB/ 512GB SSD/ Win11/ 6GB Graph,Gaming Laptop,77990,63,intel,core i5,8,12,16,SSD,512,No secondary storage,0,nvidia,dedicated,FALSE,15.6,1920,1080,windows,1
27,hp,HP Victus 16-s0094AX,AMD Ryzen 7 7840HS/ 16GB/ 1TB SSD/ Win11/ 6GB Graph,Gaming Laptop,78990,77,amd,ryzen 7,8,16,16,SSD,1024,No secondary storage,0,nvidia,dedicated,FALSE,16.1,1920,1080,windows,1
28,ultimus,Ultimus Elite NU14U3INF56BN-CS,10th Gen Core i5 / 8GB/ 512GB SSD/ Win11 Home,Laptop,19990,54,intel,core i5,4,8,8,SSD,512,No secondary storage,0,intel,integrated,FALSE,14.1,1920,1080,windows,1
30,hp,HP Pavilion 15-eg3081TU,13th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home,Laptop,71999,66,intel,core i5,12,16,16,SSD,512,No secondary storage,0,intel,integrated,FALSE,15.6,1920,1080,windows,1
31,msi,MSI GF63 Thin 11UC-1294IN,11th Gen Core i7/ 16GB/ 1TB 256GB SSD/ Win11/ 4GB Graph,Gaming Laptop,66780,76,intel,core i7,8,16,16,HDD,1024,SSD,256,nvidia,dedicated,FALSE,15.6,1920,1080,windows,No information
32,samsung,Samsung Galaxy Book2 NP550XED-KA1IN 15,12th Gen Core i5/ 8GB/ 512GB SSD/ Win11,Laptop,44990,59,intel,core i5,10,12,8,SSD,512,No secondary storage,0,intel,integrated,FALSE,15.6,1920,1080,windows,1
33,samsung,Samsung Galaxy Book2 NP550XED-KA2IN,12th Gen Core i5/ 16GB/ 512GB SSD/ Win11,Laptop,47990,62,intel,core i5,10,12,16,SSD,512,No secondary storage,0,intel,integrated,FALSE,15.6,1920,1080,windows,1
34,lenovo,Lenovo IdeaPad Gaming 3 15IHU6 82K101GSIN,11th Gen Core i5/ 8GB/ 512GB SSD/ Win11 Home/ 4GB Graph,Gaming Laptop,47990,71,intel,core i5,4,8,8,SSD,512,No secondary storage,0,nvidia,dedicated,FALSE,15.6,1920,1080,windows,1
35,asus,Asus Vivobook 16X 2022 M1603QA-MB502WS,Ryzen 5-5600H/ 8GB/ 512GB SSD/ Win11 Home,Laptop,46990,65,amd,ryzen 5,6,12,8,SSD,512,No secondary storage,0,amd,integrated,FALSE,16,1920,1200,windows,1
36,apple,Apple MacBook Air 2022,Apple M2/ 8GB/ 256GB SSD/ MacOS,Laptop,102990,48,apple,m2,8,8,8,SSD,256,No secondary storage,0,apple,apple,FALSE,13.6,2560,1664,mac,1
37,dell,Dell G15-5520,12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph,Laptop,68239,66,intel,core i5,12,16,16,SSD,512,No secondary storage,0,nvidia,dedicated,FALSE,15.6,1920,1080,windows,1
38,acer,Acer Aspire Lite AL15-52 15,12th Gen Core i5/ 16GB/ 1TB SSD/ Win11,Laptop,46990,64,intel,core i5,10,12,16,SSD,1024,No secondary storage,0,intel,integrated,FALSE,15.6,1920,1080,windows,1
39,acer,Acer Aspire Lite 15 AL15-52,12th Gen Core i3/ 16GB/ 512GB SSD/ Win11,Laptop,34990,60,intel,core i3,6,8,16,SSD,512,No secondary storage,0,intel,integrated,FALSE,15.6,1920,1080,windows,1
40,hp,HP 15s-fr5011TU,12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home,Laptop,53990,62,intel,core i5,10,12,16,SSD,512,No secondary storage,0,intel,integrated,FALSE,15.6,1920,1080,windows,1
41,asus,Asus Vivobook 16X 2023 K3605ZF-MB541WS,12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph,Laptop,63990,72,intel,core i5,8,12,16,SSD,512,No secondary storage,0,nvidia,dedicated,FALSE,16,1920,1200,windows,1
42,asus,Asus ROG Flow X13 GV301RC-LJ132WS,AMD Ryzen 9 6900HS/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph,Gaming Laptop,113571,77,amd,ryzen 9,8,16,16,SSD,512,No secondary storage,0,nvidia,dedicated,TRUE,13.4,1920,1200,windows,1
43,hp,HP Victus 15-fa1062TX,13th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 6GB Graph,Gaming Laptop,88800,71,intel,core i5,12,16,16,SSD,512,No secondary storage,0,nvidia,dedicated,FALSE,15.6,1920,1080,windows,1
45,hp,HP Victus 15-fb0150AX,AMD Ryzen 5 5600H/ 16GB/ 512GB SSD/ Win11/ 4GB Graph,Gaming Laptop,53570,71,amd,ryzen 5,6,12,16,SSD,512,No secondary storage,0,amd,dedicated,FALSE,15.6,1920,1080,windows,1
46,hp,HP Omen 16-xf0060AX,AMD Ryzen 7 7840HS/ 16GB/ 1TB SSD/ Win11/ 8GB Graph,Gaming Laptop,116990,80,amd,ryzen 7,8,16,16,SSD,1024,No secondary storage,0,nvidia,dedicated,FALSE,16,1920,1080,windows,1
47,hp,HP Victus 15-fa0555TX,12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph,Laptop,70810,71,intel,core i5,8,12,16,SSD,512,No secondary storage,0,nvidia,dedicated,FALSE,15.6,1920,1080,windows,1
48,dell,Dell G15-5530 GN5530D83M6002ORB1,13th Gen Core i5/ 16GB/ 512GB SSD/ Win11/ 6GB Graph,Gaming Laptop,81290,71,intel,core i5,10,16,16,SSD,512,No secondary storage,0,nvidia,dedicated,FALSE,15.6,1920,1080,windows,1
49,msi,MSI Modern 14 C11M-030IN,11th Gen Core i5/ 8GB/ 512GB SSD/ Win11 Home,Laptop,35950,58,intel,core i5,4,8,8,SSD,512,No secondary storage,0,intel,integrated,FALSE,14,1920,1080,windows,1
50,asus,Asus ROG Strix SCAR 16 2023 G634JZ-NM057WS,13th Gen Core i9/ 32GB/ 1TB SSD/ Win11 Home/ 12GB Graph,Gaming Laptop,269990,83,intel,core i9,24,32,32,SSD,1024,No secondary storage,0,nvidia,dedicated,FALSE,16,2560,1600,windows,1
51,msi,MSI Thin GF63 12VE-071IN,12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/6GB Graphics,Gaming Laptop,69990,70,intel,core i5,8,12,16,SSD,512,No secondary storage,0,nvidia,dedicated,FALSE,15.6,1920,1080,windows,2
53,dell,Dell Vostro 3425,AMD Ryzen 5 5625U/ 8GB/ 512GB SSD/ Win11 Home,Laptop,39649,66,amd,ryzen 5,6,12,8,SSD,512,No secondary storage,0,amd,integrated,FALSE,14,1920,1080,windows,1
56,infinix,Infinix INBook Y1 Plus 15 XL28,10th Gen Core i5/ 8GB/ 512GB SSD/ Win 11 Home,Laptop,29990,54,intel,core i5,4,8,8,SSD,512,No secondary storage,0,intel,integrated,FALSE,15.6,1920,1080,windows,1
57,acer,Acer Aspire Lite AL15-52,12th Gen Core i3/ 8GB/ 512GB SSD/ Win11,Laptop,32990,58,intel,core i3,6,8,8,SSD,512,No secondary storage,0,intel,integrated,FALSE,15.6,1920,1080,windows,1
58,hp,HP Victus 16-s0095AX,AMD Ryzen 7 7840HS/ 16GB/ 512GB SSD/ Win11/ 6GB Graph,Gaming Laptop,83590,76,amd,ryzen 7,8,16,16,SSD,512,No secondary storage,0,nvidia,dedicated,FALSE,16.1,1920,1080,windows,1
59,hp,HP Victus 15-FB1001AX,AMD Ryzen 5 7535HS/ 8GB/ 512GB SSD/ Win11/ 4GB Graph,Gaming Laptop,54490,70,amd,ryzen 5,6,12,8,SSD,512,No secondary storage,0,nvidia,dedicated,FALSE,15.6,1920,1080,windows,1
60,hp,HP 15s-eq2132AU,AMD Ryzen 5 5500U/ 16GB/ 512GB SSD/ Win11 Home,Laptop,42499,63,amd,ryzen 5,6,12,16,SSD,512,No secondary storage,0,amd,integrated,FALSE,15.6,1920,1080,windows,1
61,infinix,Infinix INBook X3 Slim XL422 2023,12th Gen Core i3/ 8GB/ 512GB SSD/ Win 11 Home,Laptop,27990,50,intel,core i3,6,8,8,SSD,512,No secondary storage,0,intel,integrated,FALSE,14,1920,1080,windows,1
62,hp,HP Omen 16-u0005TX,13th Gen Core i7/ 16GB/ 1TB SSD/ Win11 Home/ 8GB Graph,Gaming Laptop,147990,80,intel,core i7,16,24,16,SSD,1024,No secondary storage,0,nvidia,dedicated,FALSE,16.1,2560,1600,windows,1
63,asus,Asus TUF Gaming F17 FX707ZC4-HX067W,12th Gen Core i5/ 16GB/ 512GB SSD/ Win11/ 4GB Graph,Gaming Laptop,74085,75,intel,core i5,12,16,16,SSD,512,No secondary storage,0,nvidia,dedicated,FALSE,17.3,1920,1080,windows,1
64,dell,Dell Inspiron 5430,13th Gen Core i7/ 16GB/ 1TB SSD/ Win11,Laptop,86490,66,intel,core i7,12,16,16,SSD,1024,No secondary storage,0,intel,integrated,FALSE,14,1920,1200,windows,1
65,asus,Asus Vivobook 15 X1502ZA-EJ741WS,12th Gen Core i7/ 16GB/ 512GB SSD/ Win11,Laptop,60990,67,intel,core i7,10,16,16,SSD,512,No secondary storage,0,intel,integrated,FALSE,15.6,1920,1080,windows,1
66,lenovo,Lenovo Ideapad Gaming 3 82SB00NXIN,AMD Ryzen 5 7535HS/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph,Gaming Laptop,56990,69,amd,ryzen 5,6,12,16,SSD,512,No secondary storage,0,nvidia,dedicated,FALSE,15.6,1920,1080,windows,1
67,dell,Dell Inspiron 5630,13th Gen Core i5/ 16GB/ 512GB SSD/ Win11,Laptop,72490,70,intel,core i5,12,16,16,SSD,512,No secondary storage,0,intel,integrated,FALSE,16,2560,1600,windows,1
68,asus,nan,11th Gen Core i3/ 16GB/ 512GB SSD/ Win11 Home,Laptop,35990,64,intel,core i3,2,4,16,SSD,512,No secondary storage,0,intel,integrated,FALSE,14,1920,1080,windows,1
69,asus,Asus TUF Gaming F15 2023 FX507ZV-LP094W,12th Gen Core i7/ 16GB/512GB SSD/ Win11 Home/ 8GB Graph,Gaming Laptop,108990,78,intel,core i7,14,20,16,SSD,512,No secondary storage,0,nvidia,dedicated,FALSE,15.6,1920,1080,windows,1
70,asus,Asus TUF Gaming F15 FX506HF-HN025W,11th Gen Core i5/ 16GB/ 512GB SSD/ Win11/ 4GB Graph,Gaming Laptop,57990,72,intel,core i5,6,12,16,SSD,512,No secondary storage,0,nvidia,dedicated,FALSE,15.6,1920,1080,windows,1
71,hp,HP Victus 15-fa0998TX,12th Gen Core i5/ 16GB/ 512GB SSD/ Win11/ 4GB Graph,Gaming Laptop,69999,72,intel,core i5,8,12,16,SSD,512,No secondary storage,0,nvidia,dedicated,FALSE,15.6,1920,1080,windows,1
72,hp,HP Victus 15-fa0666TX,12th Gen Core i5/ 16GB/ 512GB SSD/ Win11/ 4GB Graph,Gaming Laptop,71990,65,intel,core i5,8,12,16,SSD,512,No secondary storage,0,nvidia,dedicated,FALSE,15.6,1920,1080,windows,1
73,apple,Apple MacBook Air 15 2023,Apple M2/ 8GB/ 256GB SSD/ MacOS,Laptop,119990,53,apple,m2,8,8,8,SSD,256,No secondary storage,0,apple,apple,FALSE,15.3,2880,1864,mac,1
74,infinix,Infinix INBook Y1 Plus Neo XL30,Intel Celeron N5100/ 8GB/ 512GB SSD/ Win 11 Home,Laptop,26990,53,intel,celeron,4,4,8,SSD,512,No secondary storage,0,intel,integrated,FALSE,15.6,1920,1080,windows,1
75,hp,HP Pavilion x360 14-ek1010TU,13th Gen Core i5/ 16GB/ 1TB SSD/ Win11,Laptop,77899,70,intel,core i5,10,12,16,SSD,1024,No secondary storage,0,intel,integrated,TRUE,14,1920,1080,windows,1
76,primebook,Primebook 4G Android,MediaTek Kompanio 500/ 4GB/ 64GB eMMC/ Android 11,Laptop,14990,26,other,other,8,0,4,HDD,64,No secondary storage,0,arm,integrated,FALSE,11.6,1366,768,android,1
77,dell,Dell Inspiron 3520,12th Gen Core i5/ 8GB/ 512GB SSD/ Win11,Laptop,50000,60,intel,core i5,10,12,8,SSD,512,No secondary storage,0,intel,integrated,FALSE,15.6,1920,1080,windows,1
78,acer,Acer Aspire 5 A515-57G UN.K9TSI.002,12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph,Gaming Laptop,56990,71,intel,core i5,12,16,16,SSD,512,No secondary storage,0,nvidia,dedicated,FALSE,15.6,1920,1080,windows,1
79,hp,HP Victus 15-fa0070TX,12th Gen Core i5/ 8GB/ 512GB SSD/ Win11 Home/ 4GB Graph,Laptop,57990,70,intel,core i5,8,12,8,SSD,512,No secondary storage,0,nvidia,dedicated,FALSE,15.6,1920,1080,windows,1
80,hp,HP Victus 16-e0352AX,Ryzen 5-5600H/ 8GB/ 512GB SSD/ Win11/ 4GB Graph,Gaming Laptop,49999,70,amd,ryzen 5,6,12,8,SSD,512,No secondary storage,0,nvidia,dedicated,FALSE,16.1,1920,1080,windows,1
81,asus,Asus Vivobook S14 OLED S3402ZA-KM501WS,12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home,Laptop,72490,62,intel,core i5,12,16,16,SSD,512,No secondary storage,0,intel,integrated,FALSE,14,2880,1800,windows,1
82,asus,Asus Vivobook S15 OLED K3502ZA-L501WS,12th Gen Core i5/ 16GB/ 512GB SSD/ Win11,Laptop,69689,64,intel,core i5,12,16,16,SSD,512,No secondary storage,0,intel,integrated,FALSE,15.6,1920,1080,windows,1
83,iball,iBall Excelance CompBook,AQC/ 2GB/ 32GB/Win10,Laptop,9800,41,intel,other,4,0,2,HDD,32,No secondary storage,0,intel,integrated,FALSE,11.6,1366,768,windows,1
84,ultimus,Ultimus Lite NU14U3INC54BN,Celeron N4020/ 8GB/ 256GB SSD/ Win11 Home,Laptop,15990,46,intel,celeron,2,2,8,SSD,256,No secondary storage,0,intel,integrated,FALSE,14.1,1366,768,windows,1
85,dell,Dell G15-5530,13th Gen Core i5/ 16GB/ 1TB SSD/ Win11/ 6GB Graph,Gaming Laptop,83990,72,intel,core i5,10,16,16,SSD,1024,No secondary storage,0,nvidia,dedicated,FALSE,15.6,1920,1080,windows,1
86,asus,nan,11th Gen Core i5/16GB/ 512GB SSD/ Win11 Home,Laptop,46990,57,intel,core i5,4,8,16,SSD,512,No secondary storage,0,intel,integrated,FALSE,14,1920,1080,windows,1
87,hp,HP Pavilion 15-EG2119TU,12th Gen Core i5/12GB RAM/ 512GB SSD/ Win11,Laptop,60990,54,intel,core i5,12,16,12,SSD,512,No secondary storage,0,intel,integrated,FALSE,15.6,1920,1080,windows,1
88,lenovo,Lenovo IdeaPad Slim 3 82X60013IN,13th Gen Core i3/ 8GB/ 512GB SSD/ Win11,Laptop,44990,51,intel,core i3,5,6,8,SSD,512,No secondary storage,0,intel,integrated,FALSE,15.6,1920,1080,windows,1
89,lenovo,Lenovo ThinkBook 15 G5 21JF002JIN,AMD Ryzen 3 7330U/ 8 GB/ 512 GB SSD/ Win11,Laptop,34990,66,amd,ryzen 3,4,8,8,SSD,512,No secondary storage,0,amd,integrated,FALSE,15.6,1920,1080,windows,1
90,hp,HP Victus 15-fa1145TX,12th Gen Core i5/ 16GB/ 1TB SSD/ Win11 Home/ 4GB Graph,Gaming Laptop,66990,72,intel,core i5,8,12,16,SSD,1024,No secondary storage,0,nvidia,dedicated,FALSE,15.6,1920,1080,windows,1
91,lenovo,Lenovo V15 G4,AMD Athlon Silver 7120U/ 8GB/ 512GB SSD/ Win11 Home,Laptop,24440,47,amd,other,2,2,8,SSD,512,No secondary storage,0,amd,integrated,FALSE,15.6,1920,1080,windows,1
92,hp,HP Victus 15-fb1002AX,AMD Ryzen 5 7535HS/ 8GB/ 512GB SSD/ Win11/ 4GB Graph,Gaming Laptop,51990,70,amd,ryzen 5,6,12,8,SSD,512,No secondary storage,0,nvidia,dedicated,FALSE,15.6,1920,1080,windows,1
93,msi,MSI Thin GF63 11SC-1629IN,11th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph,Gaming Laptop,54990,65,intel,core i5,6,12,16,SSD,512,No secondary storage,0,nvidia,dedicated,FALSE,15.6,1920,1080,windows,2
94,ultimus,Ultimus Pro NU14U3INC43BN-CS,Celeron N4020/ 4GB/ 128GB SSD/ Win11 Home,Laptop,11990,41,intel,celeron,2,2,4,SSD,128,No secondary storage,0,intel,integrated,FALSE,14.1,1366,768,windows,1
95,lenovo,Lenovo ThinkBook 15 G5 21JFA00BIN,AMD Ryzen 7 7730U/ 8 GB/ 512 GB SSD/ Win11,Laptop,48990,70,amd,ryzen 7,8,16,8,SSD,512,No secondary storage,0,amd,integrated,FALSE,15.6,1920,1080,windows,1
96,msi,MSI Katana 15 B13UDXK-1482IN,13th Gen Core i5/ 32GB/ 1TB SSD/ Win11 Home/ 6GB Graph,Gaming Laptop,74990,75,intel,core i5,12,16,32,SSD,1024,No secondary storage,0,nvidia,dedicated,FALSE,15.6,1920,1080,windows,2
97,msi,MSI Bravo 15 B7ED-012IN,AMD Ryzen 5 7535HS/ 8GB/ 512GB SSD/ Win11 Home/ 4GB Graph,Gaming Laptop,49990,65,amd,ryzen 5,6,12,8,SSD,512,No secondary storage,0,amd,dedicated,FALSE,15.6,1920,1080,windows,1
98,asus,Asus Vivobook 15 X1502ZA-EJ544WS,12th Gen Core i5/ 16GB/ 512GB SSD/ Win11,Laptop,53990,63,intel,core i5,12,16,16,SSD,512,No secondary storage,0,intel,integrated,FALSE,15.6,1920,1080,windows,1
99,asus,Asus Vivobook 16 2023 X1605VA-MB947WS,13th Gen Core i9/ 16GB/ 512GB SSD/ Win11 Home,Laptop,81689,71,intel,core i9,14,20,16,SSD,512,No secondary storage,0,intel,integrated,FALSE,16,1920,1200,windows,1
100,lenovo,Lenovo IdeaPad Gaming 3 82SB00V3IN,AMD Ryzen 5 6600H/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph,Gaming Laptop,63889,63,amd,ryzen 5,6,12,16,SSD,512,No secondary storage,0,nvidia,dedicated,FALSE,15.6,1920,1080,windows,1
101,lenovo,Lenovo IdeaPad Slim 3 82RK00VWIN,12th Gen Core i3/ 8GB/ 512GB SSD/ Win11,Laptop,37040,59,intel,core i3,6,8,8,SSD,512,No secondary storage,0,intel,integrated,FALSE,15.6,1920,1080,windows,1
102,asus,Asus ROG Strix G16 2023 G614JJ-N3086WS,13th Gen Core i5/ 16GB/ 512GB SSD/ Win11/ 6GB Graph,Gaming Laptop,94990,70,intel,core i5,10,16,16,SSD,512,No secondary storage,0,nvidia,dedicated,FALSE,16,1920,1200,windows,1
103,infinix,Infinix INBook X2 Slim Series XL23 2023,11th Gen Core i5/ 16GB/ 1TB SSD/ Win 11 Home,Laptop,35990,60,intel,core i5,4,8,16,SSD,1024,No secondary storage,0,intel,integrated,FALSE,14,1920,1080,windows,1
104,asus,Asus Vivobook Pro 15 M6500RC-HN741WS,AMD Ryzen 7 6800H/ 16GB/ 512GB SSD/ Win11/ 4GB Graph,Laptop,72990,70,amd,ryzen 7,8,16,16,SSD,512,No secondary storage,0,nvidia,dedicated,FALSE,15.6,1920,1080,windows,1
105,hp,HP Victus 15-fb1016AX,AMD Ryzen 5 7535HS/ 8GB/ 512GB SSD/ Win11/ 4GB Graph,Gaming Laptop,55990,67,amd,ryzen 5,6,12,8,SSD,512,No secondary storage,0,nvidia,dedicated,FALSE,15.6,1920,1080,windows,1
106,lenovo,Lenovo Yoga 7 82YM0074IN,AMD Ryzen 7 7735U/ 16GB/ 1TB SSD/ Win11 Home,Laptop,94990,80,amd,ryzen 7,8,16,16,SSD,1024,No secondary storage,0,amd,integrated,TRUE,14,2880,1800,windows,1
107,hp,HP 15S-FQ5202TU,12th Gen Core i5/ 8 GB RAM/ 512 GB SSD/ Win 11,Laptop,51800,57,intel,core i5,10,12,8,SSD,512,No secondary storage,0,intel,integrated,FALSE,15.6,1920,1080,windows,1
109,hp,HP Victus15-fb0147AX,Ryzen 5 5600H/ 8GB/ 512GB SSD/ Win11 Home/ 4GB Graph,Gaming Laptop,49775,62,amd,ryzen 5,6,12,8,SSD,512,No secondary storage,0,amd,dedicated,FALSE,15.6,1920,1080,windows,1
110,asus,Asus TUF Gaming F15  FX506HF-HN075W,11th Gen Core i5/ 8GB/ 512GB SSD/ Win11/ 4GB Graph,Gaming Laptop,53990,66,intel,core i5,6,12,8,SSD,512,No secondary storage,0,nvidia,dedicated,FALSE,15.6,1920,1080,windows,1
112,lenovo,Lenovo LOQ 15IRH8 82XV00F5IN 2023,12th Gen Core i5/ 16GB/ 512GB SSD/ Win11/ 6GB Graph,Gaming Laptop,79990,70,intel,core i5,8,12,16,SSD,512,No secondary storage,0,nvidia,dedicated,FALSE,15.6,1920,1080,windows,1
113,msi,MSI Modern 15 B11M-061IN,11th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home,Laptop,41990,63,intel,core i5,4,8,16,SSD,512,No secondary storage,0,intel,integrated,FALSE,15.6,1920,1080,windows,1
114,acer,Acer Aspire Lite AL15,AMD Ryzen 5 5500U/ 16GB/ 512GB SSD/ Win11,Laptop,37990,60,amd,ryzen 5,6,12,16,SSD,512,No secondary storage,0,amd,integrated,FALSE,15.6,1920,1080,windows,1
