index,brand,model,Specification,Device,price,Rating,processor_brand,processor_tier,num_cores,num_threads,ram_memory,primary_storage_type,primary_storage_capacity,secondary_storage_type,secondary_storage_capacity,gpu_brand,gpu_type,is_touch_screen,display_size,resolution_width,resolution_height,os,year_of_warranty
621,hp,HP 15s-fy5005TU,12th Gen Core i3/ 8GB/ 1TB SSD/ Win11 Home,Laptop,43735,56,intel,core i3,6,8,8,SSD,1024,No secondary storage,0,intel,integrated,FALSE,15.6,1920,1080,windows,1
622,lenovo,Lenovo Yoga 6 83B2005TIN,AMD Ryzen 5 7530U/ 16GB/ 512GB SSD/ Win11 Home,Laptop,74990,69,amd,ryzen 5,6,12,16,SSD,512,No secondary storage,0,amd,integrated,TRUE,13.3,1920,1200,windows,3
623,asus,Asus Vivobook 16X 2023 K3605ZF-MBN543WS,12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph,Laptop,64990,72,intel,core i5,8,12,16,SSD,512,No secondary storage,0,nvidia,dedicated,FALSE,16,1920,1200,windows,1
624,asus,Asus Vivobook 16X 2023 K3605ZF-MBN741WS,12th Gen Core i7/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph,Laptop,89000,75,intel,core i7,10,16,16,SSD,512,No secondary storage,0,nvidia,dedicated,FALSE,16,1920,1200,windows,1
625,lenovo,Lenovo IdeaPad Flex 5 82R900D9IN,AMD Ryzen 7 5700U/ 16GB/ 512GB SSD/ Win11 Home,Laptop,64990,72,amd,ryzen 7,8,16,16,SSD,512,No secondary storage,0,amd,integrated,TRUE,14,1920,1200,windows,1
626,hp,HP 15s-fy5004TU,12th Gen Core i3/ 16GB/ 512GB SSD/ Win11 Home,Laptop,43400,57,intel,core i3,6,8,16,SSD,512,No secondary storage,0,intel,integrated,FALSE,15.6,1920,1080,windows,1
627,lenovo,Lenovo IdeaPad Slim 3 82XQ008GIN,AMD Ryzen 5 7520U/ 8GB/ 512GB SSD/ Win11,Laptop,40590,57,amd,ryzen 5,4,8,8,SSD,512,No secondary storage,0,amd,integrated,FALSE,15.6,1920,1080,windows,1
628,asus,Asus Vivobook Pro 15 M6500QC-LK542WS,AMD R5 5600H/ 16GB/ 512GB SSD/ Win11/ 4GB Graph,Laptop,70000,70,amd,ryzen 5,6,12,16,SSD,512,No secondary storage,0,nvidia,dedicated,FALSE,15.6,1920,1080,windows,1
629,asus,Asus ROG Zephyrus G16 2023 GU603ZU-N3023WS,12th Gen Core i7/ 16GB/ 1TB SSD/ Win11 Home/ 6GB Graph,Laptop,141989,82,intel,core i7,14,20,16,SSD,1024,No secondary storage,0,nvidia,dedicated,FALSE,16,2560,1600,windows,1
630,lg,LG Gram 14 2023 14Z90R-G.CH54A2,13th Gen Core i5/ 16GB/ 512GB SSD/ Win11,Laptop,98999,67,intel,core i5,12,16,16,SSD,512,No secondary storage,0,intel,integrated,FALSE,14,1200,1920,windows,1
631,dell,Dell Alienware m16,AMD Ryzen 9 7845HX/ 32GB/ 2TB SSD/ Win 11/ 12GB Graph,Gaming Laptop,299990,89,amd,ryzen 9,12,24,32,SSD,2048,No secondary storage,0,nvidia,dedicated,FALSE,16,1920,1200,windows,1
632,acer,Acer Nitro 16 AN16-41,AMD Ryzen 7 7840HS/ 16GB/ 512GB SSD/ Win11 Home/ 8GB Graph,Gaming Laptop,129990,80,amd,ryzen 7,8,16,16,SSD,512,No secondary storage,0,nvidia,dedicated,FALSE,16,1920,1200,windows,1
633,lenovo,Lenovo IdeaPad Flex 5 82XX007KIN,AMD Ryzen 5 7530U/ 16GB/ 512GB SSD/ Win11 Home,Laptop,65990,69,amd,ryzen 5,6,12,16,SSD,512,No secondary storage,0,amd,integrated,TRUE,14,1920,1200,windows,1
634,acer,Acer Aspire 5 2023 A515-58M,13th Gen Core i7/ 8GB/ 512GB SSD/ Win11 Home/ 4GB Graphic,Gaming Laptop,75499,59,intel,core i7,10,12,8,SSD,512,No secondary storage,0,nvidia,dedicated,FALSE,15.6,1920,1080,windows,1
635,hp,HP Chromebook x360 14a-ca0505TU,Intel Celeron N4120/ 4GB/ 64GB eMMC/ Chrome OS,Laptop,25990,44,intel,celeron,4,4,4,HDD,64,No secondary storage,0,intel,integrated,TRUE,14,1366,768,chrome,1
636,asus,Asus Vivobook Pro 15 M6500QC-LK742WS,Ryzen 7 5800H/ 16GB/ 512GB SSD/ Win11/ 4GB Graph,Laptop,76600,72,amd,ryzen 7,8,16,16,SSD,512,No secondary storage,0,nvidia,dedicated,FALSE,15.6,1920,1080,windows,1
